"pedido_id","producto_id","nombre_producto","presencia"
"6a6e4dbc46feabf3642b0595","69db282e2b56cc0c1597ffe6","Ampolletas Hidraforce - Gegenerex","1"
"6a6e4dbc46feabf3642b0595","69db280b2b56cc0c1597fcff","Alfapar 6.1","1"
"6a6e4dbc46feabf3642b0595","69db282d2b56cc0c1597ffd4","Ampolletas Alfaparf Semi Di Lino Essential Oil (Azul)","1"
"6a6e4dbc46feabf3642b0599","69db282b2b56cc0c1597ff97","Almoadillas de algodon","1"
"6a6e4dbc46feabf3642b0599","69db27cb2b56cc0c1597f7ce","4x4 Aftershave King Blue 400ml","1"
"6a6e4dbc46feabf3642b059c","69db280b2b56cc0c1597fd06","Alfapar 6.23","1"
"6a6e4dbc46feabf3642b059c","69db28052b56cc0c1597fc88","Alfapar 5","1"
"6a6e4dbc46feabf3642b05a3","69db27db2b56cc0c1597f918","4x4 Pomada Extrafirme Verde 100g.","1"
"6a6e4dbc46feabf3642b05a3","69db28142b56cc0c1597fdb5","Alfapar 7.45","1"
"6a6e4dbc46feabf3642b05ad","69db27d32b56cc0c1597f86c","4x4 Gel 500g.","1"
"6a6e4dbc46feabf3642b05ad","69db27d92b56cc0c1597f8f5","4x4 papel cuello negro 5 pz","1"
"6a6e4dbc46feabf3642b05b0","69db282b2b56cc0c1597ff97","Almoadillas de algodon","1"
"6a6e4dbc46feabf3642b05b0","69db27ff2b56cc0c1597fc03","Alfapar 10.3","1"
"6a6e4dbc46feabf3642b05b0","69db27e52b56cc0c1597f9fa","Acetona quinta esmalte 98(60 ml)","1"
"6a6e4dbc46feabf3642b05b8","69db27e72b56cc0c1597fa1f","acrílico organic blanco (white)","1"
"6a6e4dbc46feabf3642b05cb","69db27d82b56cc0c1597f8e0","4x4 Off-Road Crecimiento de Barba 60g.","1"
"6a6e4dbc46feabf3642b05cd","69db27eb2b56cc0c1597fa6b","adhesivo latex para rulos o pads liftin j denis","1"
"6a6e4dbc46feabf3642b05d8","69db27d32b56cc0c1597f87a","4X4 Gel Cubre Cana 315gr.","1"
